CRN,Subject,Course,Section,Course Title,CrossList,Modality,Cap,Start_Date,End_Date,Begin_Time,End_Time,Days,Building,Room,Room_Desc,Room_Cap,Instructor
21187,CS,5910,1,Systems Design & Implement,,On Campus,30,1/25/2027,5/18/2027,1440,1620,MW,NAB,104,Computer Lab,30,"Balyan, Renu"
21308,CS,6110,G02,Data Analytics I,,On Campus,20,1/25/2027,5/18/2027,1800,2030,M,NAB,1115,Tablet Classroom,47,"Balyan, Renu"
20108,CS,5710,1,Computer Networks,,On Campus,25,1/25/2027,5/18/2027,1630,1810,TR,NAB,101,Computer Lab,32,"Basawapatna, Ashok"
21875,CS,3810,1,Data Structures & Algorithms,,On Campus,27,1/25/2027,5/18/2027,1440,1620,TR,NAB,101,Computer Lab,32,"Basawapatna, Ashok"
21158,MA,2050,1,Quantitative Decision Making,,On Campus,27,1/25/2027,5/18/2027,1820,2000,TR,NAB,1113,Tablet Classroom,55,"Berbari, Betty"
20045,CS,2511,2,Computer Programming II,,On Campus,23,1/25/2027,5/18/2027,950,1130,TR,NAB,103,Computer Lab,38,"Cruz, Brandon"
20045,CS,2511,2,Computer Programming II,,On Campus,23,1/25/2027,5/18/2027,1140,1240,TR,NAB,103,Computer Lab,38,"Cruz, Brandon"
20238,CS,2511,1,Computer Programming II,,On Campus,23,1/25/2027,5/18/2027,800,940,MW,NAB,103,Computer Lab,38,"Cruz, Brandon"
20238,CS,2511,1,Computer Programming II,,On Campus,23,1/25/2027,5/18/2027,950,1050,MW,NAB,103,Computer Lab,38,"Cruz, Brandon"
20893,CS,2510,2,Computer Programming I,,On Campus,25,1/25/2027,5/18/2027,1140,1320,MW,NAB,111,CIS Computer Lab,26,"Cruz, Brandon"
20893,CS,2510,2,Computer Programming I,,On Campus,25,1/25/2027,5/18/2027,1330,1430,MW,NAB,111,CIS Computer Lab,26,"Cruz, Brandon"
20008,MA,2090,1,Precalculus,,On Campus,30,1/25/2027,5/18/2027,950,1130,MW,NAB,1119,Table Classroom,46,"D'Ambroise, Jennie"
20341,MA,5320,1,Advanced Calculus I,,On Campus,20,1/25/2027,5/18/2027,1140,1320,MW,NAB,2129,Tablet Classroom,30,"D'Ambroise, Jennie"
20111,CS,4550,1,Database Management Systems,,On Campus,20,1/25/2027,5/18/2027,1140,1320,TR,NAB,111,CIS Computer Lab,26,"Gupta, Naresh"
21172,CS,7920,G01,Analytics Project II,,On Campus,20,1/25/2027,5/18/2027,1820,2050,M,NAB,3103,Tablet Classroom,22,"Gupta, Naresh"
21873,CS,5610,1,Operating Systems,,On Campus,20,1/25/2027,5/18/2027,1630,1810,MW,NAB,3104,Computer Lab,22,"Gupta, Naresh"
20381,CS,3911,1,C++in Object Oriented Design,,On Campus,25,1/25/2027,5/18/2027,1630,1810,MW,NAB,104,Computer Lab,30,"Khalefa, MohamedE"
21309,CS,6030,G02,Data Warehousing,,On Campus,20,1/25/2027,5/18/2027,1800,2030,R,NAB,3117,Tablet Classroom,44,"Khalefa, MohamedE"
21668,CS,4550,2,Database Management Systems,,On Campus,14,1/25/2027,5/18/2027,1820,2000,MW,NAB,104,Computer Lab,30,"Khalefa, MohamedE"
20007,MA,2080,3,Precalc/Business & Economics,,On Campus,30,1/25/2027,5/18/2027,1440,1620,TR,NAB,2109,Tablet Classroom,40,"Kim, Myong-HiNina"
20320,MA,2300,2,Calc/Business & Economics,,On Campus,25,1/25/2027,5/18/2027,950,1130,MW,NAB,2123,Table Classroom,40,"Kim, Myong-HiNina"
21878,MA,2300,HY1,Calc/Business & Economics,,Hybrid,25,1/25/2027,5/18/2027,1630,1810,T,CC/I-L,L138,Classroom,35,"Kim, Myong-HiNina"
21038,MA,2000,6,Applied Statistics,,On Campus,35,1/25/2027,5/18/2027,1140,1320,MW,NAB,1113,Tablet Classroom,55,"Maritato, Kevin"
21118,MA,6520,G01,Statistics II,,On Campus,20,1/25/2027,5/18/2027,1800,2030,T,NAB,3117,Tablet Classroom,44,"Maritato, Kevin"
21197,MA,5220,1,Advanced Statistics II,,On Campus,30,1/25/2027,5/18/2027,1800,2030,T,CC/E-H,H220,Classroom,33,"Maritato, Kevin"
20924,MA,6200,G01,Algebra,,On Campus,20,1/25/2027,5/18/2027,1630,1900,W,NAB,3121,Tablet Classroom,46,"More, Yogesh"
20511,MA,3160,2,Linear Algebra,,On Campus,22,1/25/2027,5/18/2027,1440,1620,MW,NAB,1108,Tablet Classroom/Seminar,22,"More, Yogesh"
21874,MA,6150,G01,Geometry,,On Campus,20,1/25/2027,5/18/2027,1630,1900,M,NAB,1108,Tablet Classroom/Seminar,22,"More, Yogesh"
20636,CS,3611,1,Advanced C#,,On Campus,20,1/25/2027,5/18/2027,1820,2000,MW,NAB,109,CIS Computer Lab,32,"Park, Do Young"
21178,CS,4720,1,Internet & Web Tech,,On Campus,25,1/25/2027,5/18/2027,1140,1320,MW,NAB,104,Computer Lab,30,"Park, Do Young"
21877,CS,4501,1,Software Engineering,,On Campus,25,1/25/2027,5/18/2027,1440,1620,MW,NAB,111,CIS Computer Lab,26,"Park, Do Young"
20005,MA,1020,HY2,College Algebra,,Hybrid,60,1/25/2027,5/18/2027,1440,1620,TR,NAB,1113,Tablet Classroom,55,"Prabhu, AshokSanjeev"
20702,MA,2090,2,Precalculus,,On Campus,30,1/25/2027,5/18/2027,1140,1320,TR,NAB,1113,Tablet Classroom,55,"Prabhu, AshokSanjeev"
20926,MA,2000,3,Applied Statistics,,On Campus,35,1/25/2027,5/18/2027,950,1130,TR,NAB,2117,Tablet Classroom,42,"Prabhu, AshokSanjeev"
21039,MA,2000,7,Applied Statistics,,On Campus,35,1/25/2027,5/18/2027,1630,1810,TR,NAB,2117,Tablet Classroom,42,"Prabhu, AshokSanjeev"
20012,MA,3030,1,Discrete Mathematics,,On Campus,25,1/25/2027,5/18/2027,1140,1320,MW,NAB,2123,Table Classroom,40,"Ralston, David"
20015,MA,4360,1,Differential Equations,,On Campus,25,1/25/2027,5/18/2027,1140,1320,TR,CC/I-L,L138,Classroom,35,"Ralston, David"
20765,MA,2310,1,Calc & Analytic Geometry I,,On Campus,20,1/25/2027,5/18/2027,1440,1620,TR,NAB,2111,Tablet Classroom,38,"Ralston, David"
20046,CS,3620,1,Computer Architecture I,,On Campus,25,1/25/2027,5/18/2027,1440,1620,TR,NAB,109,CIS Computer Lab,32,"Rayana, Shebuti"
20790,CS,5810,1,Data Mining,,On Campus,18,1/25/2027,5/18/2027,950,1130,TR,NAB,111,CIS Computer Lab,26,"Rayana, Shebuti"
21041,CS,4200,1,Mobile Programming via Android,,On Campus,20,1/25/2027,5/18/2027,950,1130,MW,NAB,109,CIS Computer Lab,32,"Rayana, Shebuti"
20001,MA,1020,2,College Algebra,,On Campus,30,1/25/2027,5/18/2027,1140,1320,MW,NAB,1117,Tablet Classroom,55,"Rydzewski, Monika"
20003,MA,1020,3,College Algebra,,On Campus,30,1/25/2027,5/18/2027,950,1130,TR,NAB,2123,Table Classroom,40,"Rydzewski, Monika"
20004,MA,1020,HY1,College Algebra,,Hybrid,55,1/25/2027,5/18/2027,950,1130,MW,NAB,1113,Tablet Classroom,55,"Rydzewski, Monika"
20014,MA,3210,HY1,Intro to Prob & Statistics,,Hybrid,25,1/25/2027,5/18/2027,800,950,R,NAB,1119,Table Classroom,46,"Sanacory, Frank"
